2.179,1.6,0.5824,0.10896,0.0375276,-0.0368,0.647424,-0.05312,0.0410368,0.700493,0.369608793,0.646673395,0.571554043,0.694780162,47.8687
2.379,1.6,0.5824,0.10896,0.0375276,-0.0368,0.647424,-0.05312,0.0410368,0.700493,0.369608793,0.646673395,0.571554043,0.694780162,54.423
2.579,1.6,0.5824,0.10896,0.0375276,-0.0368,0.647424,-0.05312,0.0410368,0.700493,0.369608793,0.646673395,0.571554043,0.694780162,58.5455
0.396,1.6,0.456,0.11552,0.0309248,-0.03664,0.504294,-0.05328,0.034048,0.580966,0.366914518,0.646352692,0.567669204,0.691192394,0.23319
0.594,1.6,0.456,0.11552,0.0309248,-0.03664,0.504294,-0.05328,0.034048,0.580966,0.366914518,0.646352692,0.567669204,0.691192394,0.498678
0.792,1.6,0.456,0.11552,0.0309248,-0.03664,0.504294,-0.05328,0.034048,0.580966,0.366914518,0.646352692,0.567669204,0.691192394,1.01976
0.99,1.6,0.456,0.11552,0.0309248,-0.03664,0.504294,-0.05328,0.034048,0.580966,0.366914518,0.646352692,0.567669204,0.691192394,1.65044
1.189,1.6,0.456,0.11552,0.0309248,-0.03664,0.504294,-0.05328,0.034048,0.580966,0.366914518,0.646352692,0.567669204,0.691192394,2.66537
1.387,1.6,0.456,0.11552,0.0309248,-0.03664,0.504294,-0.05328,0.034048,0.580966,0.366914518,0.646352692,0.567669204,0.691192394,4.23818
1.585,1.6,0.456,0.11552,0.0309248,-0.03664,0.504294,-0.05328,0.034048,0.580966,0.366914518,0.646352692,0.567669204,0.691192394,8.32458
1.783,1.6,0.456,0.11552,0.0309248,-0.03664,0.504294,-0.05328,0.034048,0.580966,0.366914518,0.646352692,0.567669204,0.691192394,15.8246
1.981,1.6,0.456,0.11552,0.0309248,-0.03664,0.504294,-0.05328,0.034048,0.580966,0.366914518,0.646352692,0.567669204,0.691192394,26.1262
2.179,1.6,0.456,0.11552,0.0309248,-0.03664,0.504294,-0.05328,0.034048,0.580966,0.366914518,0.646352692,0.567669204,0.691192394,34.5074
2.377,1.6,0.456,0.11552,0.0309248,-0.03664,0.504294,-0.05328,0.034048,0.580966,0.366914518,0.646352692,0.567669204,0.691192394,39.8852
0.396,1.6,0.5824,0.1472,0.0495575,-0.03856,0.636749,-0.05488,0.055424,0.733722,0.361293537,0.64650021,0.558845197,0.683324383,0.292902
0.594,1.6,0.5824,0.1472,0.0495575,-0.03856,0.636749,-0.05488,0.055424,0.733722,0.361293537,0.64650021,0.558845197,0.683324383,0.757529
0.792,1.6,0.5824,0.1472,0.0495575,-0.03856,0.636749,-0.05488,0.055424,0.733722,0.361293537,0.64650021,0.558845197,0.683324383,1.33961
0.99,1.6,0.5824,0.1472,0.0495575,-0.03856,0.636749,-0.05488,0.055424,0.733722,0.361293537,0.64650021,0.558845197,0.683324383,2.30413
1.189,1.6,0.5824,0.1472,0.0495575,-0.03856,0.636749,-0.05488,0.055424,0.733722,0.361293537,0.64650021,0.558845197,0.683324383,3.75273
1.387,1.6,0.5824,0.1472,0.0495575,-0.03856,0.636749,-0.05488,0.055424,0.733722,0.361293537,0.64650021,0.558845197,0.683324383,6.1331
1.585,1.6,0.5824,0.1472,0.0495575,-0.03856,0.636749,-0.05488,0.055424,0.733722,0.361293537,0.64650021,0.558845197,0.683324383,12.8569
1.783,1.6,0.5824,0.1472,0.0495575,-0.03856,0.636749,-0.05488,0.055424,0.733722,0.361293537,0.64650021,0.558845197,0.683324383,26.3132
1.981,1.6,0.5824,0.1472,0.0495575,-0.03856,0.636749,-0.05488,0.055424,0.733722,0.361293537,0.64650021,0.558845197,0.683324383,47.7229
2.179,1.6,0.5824,0.1472,0.0495575,-0.03856,0.636749,-0.05488,0.055424,0.733722,0.361293537,0.64650021,0.558845197,0.683324383,70.2521
2.377,1.6,0.5824,0.1472,0.0495575,-0.03856,0.636749,-0.05488,0.055424,0.733722,0.361293537,0.64650021,0.558845197,0.683324383,81.8997
0.396,1.6,0.5072,0.17024,0.050135,-0.0384,0.556237,-0.05472,0.055808,0.699853,0.362894333,0.646331918,0.561467448,0.685426078,0.230859
0.594,1.6,0.5072,0.17024,0.050135,-0.0384,0.556237,-0.05472,0.055808,0.699853,0.362894333,0.646331918,0.561467448,0.685426078,0.715183
0.792,1.6,0.5072,0.17024,0.050135,-0.0384,0.556237,-0.05472,0.055808,0.699853,0.362894333,0.646331918,0.561467448,0.685426078,1.34944
0.99,1.6,0.5072,0.17024,0.050135,-0.0384,0.556237,-0.05472,0.055808,0.699853,0.362894333,0.646331918,0.561467448,0.685426078,2.22962
1.19,1.6,0.5072,0.17024,0.050135,-0.0384,0.556237,-0.05472,0.055808,0.699853,0.362894333,0.646331918,0.561467448,0.685426078,3.70806
